"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"People building in Claude code with zero coding knowledge scares but inspires me!","77","6","124","3","7470","2026-06-24T09:30:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069714810460160513"
"Do you expect GPT-5.6 to beat Claude Fable 5?","79","1","64","3","6761","2026-06-24T06:05:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069663218218217872"
"Founders, sell me your startup in exactly 3 words","136","2","66","4","6564","2026-06-24T01:00:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069586463084200187"
"Apparently, telling Claude that the code was written by Codex gives it an instant +25 IQ boost.","34","1","84","3","4145","2026-06-23T21:42:04.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069536491844350200"
"remember scrum masters? wild times!","60","2","76","1","6410","2026-06-23T19:05:40.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069497134047523139"
"0 to 10k in 100 days started from 0 84 days ago 7.4k now Need 150+ followers a day So looking to connect!","84","0","116","4","4740","2026-06-23T16:45:17.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069461803755614404"
"","1","0","5","0","739","2026-06-23T14:42:06.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069430802685858032"
"First affiliate program got 0 signups. Second try is starting to get a few. Share the product. Earn 30% of the revenue you bring in. Looking for more people who wanna join like @omarvvvr Let me know if interested.","24","0","51","5","2849","2026-06-23T14:29:19.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069427586401284291"
"Everyone is now suspiciously: ""AI will not replace jobs"" Complete 180 within 2 weeks","72","3","98","2","5015","2026-06-23T12:13:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069393441499312156"
"Is building a startup worth it for personal growth, or is it just very expensive self-help?","38","0","40","0","2866","2026-06-23T09:30:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069352421000712482"
"AI fixed code, but code review is still broken. How do we fix it?","22","0","34","2","2117","2026-06-23T06:08:41.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069301597130117360"
"7400 followers in 83 days need 150 followers a day to hit 10k by day 100 ""only"" got 87 today","158","2","197","7","6593","2026-06-23T01:07:40.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069225844418007068"
"Do you want money? Then stop standing still in a hot market. The flow pays people who move with it!","12","0","27","0","1326","2026-06-22T21:48:04.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069175614230118440"
"","1","0","6","0","701","2026-06-22T19:25:46.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069139805103940037"
"X is driving 80% of ClimbX traffic. Google is second largest with 5%. 38 days in. Build in Public works!?","49","0","98","3","3802","2026-06-22T19:25:27.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069139725319823811"
"What are you building right now? -App -Startup -Saas","167","2","114","2","8242","2026-06-22T16:45:33.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069099484370358641"
"I will start :D","5","0","14","1","946","2026-06-22T14:27:59.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069064862722855370"
"Time to promote your startup Drop your project URL Let’s drive some traffic","288","2","142","18","10429","2026-06-22T14:24:35.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069064007302918554"
"Is the MVP now the easy part?","51","6","86","4","3737","2026-06-22T12:10:23.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069030235245322519"
"X is about ideas. LinkedIn is about CVs. Instagram is about appearance. Agree?","84","6","119","7","4360","2026-06-22T09:30:24.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068989973009699209"
